title	pubdate	pubyear	journal	authors	volume	issue	pages	doi	pmid	elocationid	github	data	software
DNA methylation profiles of elderly individuals subjected to indentured childhood labor and trauma.	2017 Feb 27	2017	BMC Med Genet	Marinova Z, Maercker A, Küffer A, <strong>Robinson MD</strong>, Wojdacz TK, Walitza S, Grünblatt E, Burri A	18	1	21	10.1186/s12881-017-0370-2	28241754	doi: 10.1186/s12881-017-0370-2			
Faithful mRNA splicing depends on the Prp19 complex subunit faint sausage and is required for tracheal branching morphogenesis in Drosophila.	2017 Feb 15	2017	Development	Sauerwald J, <strong>Soneson C</strong>, <strong>Robinson MD</strong>, Luschnig S	144	4	657-663	10.1242/dev.144535	28087625	doi: 10.1242/dev.144535			
The proto CpG island methylator phenotype of sessile serrated adenomas/polyps.	2018	2018	Epigenetics	Parker HR, <strong>Orjuela S</strong>, Martinho Oliveira A, Cereatti F, Sauter M, Heinrich H, Tanzi G, Weber A, Komminoth P, Vavricka S, Albanese L, Buffoli F, <strong>Robinson MD</strong>, Marra G	13	10-11	1088-1105	10.1080/15592294.2018.1543504	30398409	doi: 10.1080/15592294.2018.1543504			
Treatment of a metabolic liver disease by in vivo genome base editing in adult mice.	2018 Oct	2018	Nat Med	Villiger L, Grisch-Chan HM, <strong>Lindsay H</strong>, Ringnalda F, Pogliano CB, Allegri G, Fingerhut R, Häberle J, Matos J, <strong>Robinson MD</strong>, Thöny B, Schwank G	24	10	1519-1525	10.1038/s41591-018-0209-1	30297904	doi: 10.1038/s41591-018-0209-1			
Fibroblastic reticular cells initiate immune responses in visceral adipose tissues and secure peritoneal immunity.	2018 Aug 10	2018	Sci Immunol	Perez-Shibayama C, Gil-Cruz C, Cheng HW, Onder L, Printz A, Mörbe U, Novkovic M, Li C, Lopez-Macias C, Buechler MB, Turley SJ, Mack M, <strong>Soneson C</strong>, <strong>Robinson MD</strong>, Scandella E, Gommerman J, Ludewig B	3	26	eaar4539	10.1126/sciimmunol.aar4539	30097537	pii: eaar4539. doi: 10.1126/sciimmunol.aar4539			
Small RNA-seq analysis of single porcine blastocysts revealed that maternal estradiol-17beta exposure does not affect miRNA isoform (isomiR) expression.	2018 Aug 6	2018	BMC Genomics	Bick JT, Flöter VL, <strong>Robinson MD</strong>, Bauersachs S, Ulbrich SE	19	1	590	10.1186/s12864-018-4954-9	30081835	doi: 10.1186/s12864-018-4954-9			
A systematic performance evaluation of clustering methods for single-cell RNA-seq data.	2018	2018	F1000Res	<strong>Duò A</strong>, <strong>Robinson MD</strong>, <strong>Soneson C</strong>	7		1141	10.12688/f1000research.15666.3	30271584	doi: 10.12688/f1000research.15666.3	https://github.com/markrobinsonuzh/scRNAseq_clustering_comparison	https://bioconductor.org/packages/DuoClustering2018/	
Common Features of Regulatory T Cell Specialization During Th1 Responses.	2018	2018	Front Immunol	Littringer K, Moresi C, Rakebrandt N, <strong>Zhou X</strong>, Schorer M, Dolowschiak T, Kirchner F, Rost F, Keller CW, McHugh D, LeibundGut-Landmann S, <strong>Robinson MD</strong>, Joller N	9		1344	10.3389/fimmu.2018.01344	29951069	doi: 10.3389/fimmu.2018.01344			
Covalent linkage of the DNA repair template to the CRISPR-Cas9 nuclease enhances homology-directed repair.	2018 May 29	2018	Elife	Savic N, Ringnalda FC, <strong>Lindsay H</strong>, Berk C, Bargsten K, Li Y, Neri D, <strong>Robinson MD</strong>, Ciaudo C, Hall J, Jinek M, Schwank G	7			10.7554/eLife.33761	29809142	doi: 10.7554/eLife.33761			
ALT-803, an IL-15 superagonist, in combination with nivolumab in patients with metastatic non-small cell lung cancer: a non-randomised, open-label, phase 1b trial.	2018 May	2018	Lancet Oncol	Wrangle JM, Velcheti V, Patel MR, Garrett-Mayer E, Hill EG, Ravenel JG, Miller JS, Farhad M, Anderton K, Lindsey K, Taffaro-Neskey M, Sherman C, Suriano S, Swiderska-Syn M, Sion A, Harris J, Edwards AR, Rytlewski JA, Sanders CM, Yusko EC, <strong>Robinson MD</strong>, Krieg C, Redmond WL, Egan JO, Rhode PR, Jeng EK, Rock AD, Wong HC, Rubinstein MP	19	5	694-704	10.1016/S1470-2045(18)30148-7	29628312	doi: 10.1016/S1470-2045(18)30148-7			
Compensation of Signal Spillover in Suspension and Imaging Mass Cytometry.	2018 May 23	2018	Cell Syst	Chevrier S, <strong>Crowell HL</strong>, Zanotelli VRT, Engler S, <strong>Robinson MD</strong>, Bodenmiller B	6	5	612-620.e5	10.1016/j.cels.2018.02.010	29605184	doi: 10.1016/j.cels.2018.02.010			http://bioconductor.org/packages/release/bioc/html/CATALYST.html
Bias, robustness and scalability in single-cell differential expression analysis.	2018 Apr	2018	Nat Methods	<strong>Soneson C</strong>, <strong>Robinson MD</strong>	15	4	255-261	10.1038/nmeth.4612	29481549	doi: 10.1038/nmeth.4612	https://github.com/csoneson/conquer_comparison		
Observation weights unlock bulk RNA-seq tools for zero inflation and single-cell applications.	2018 Feb 26	2018	Genome Biol	Van den Berge K, Perraudeau F, <strong>Soneson C</strong>, Love MI, Risso D, Vert JP, <strong>Robinson MD</strong>, Dudoit S, Clement L	19	1	24	10.1186/s13059-018-1406-4	29478411	doi: 10.1186/s13059-018-1406-4			
Non-parent of Origin Expression of Numerous Effector Genes Indicates a Role of Gene Regulation in Host Adaption of the Hybrid Triticale Powdery Mildew Pathogen.	2018	2018	Front Plant Sci	Praz CR, Menardo F, <strong>Robinson MD</strong>, Müller MC, Wicker T, Bourras S, Keller B	9		49	10.3389/fpls.2018.00049	29441081	doi: 10.3389/fpls.2018.00049			
High-dimensional single-cell analysis predicts response to anti-PD-1 immunotherapy.	2018 Feb	2018	Nat Med	Krieg C, <strong>Nowicka M</strong>, Guglietta S, Schindler S, Hartmann FJ, <strong>Weber LM</strong>, Dummer R, <strong>Robinson MD</strong>, Levesque MP, Becher B	24	2	144-153	10.1038/nm.4466	29309059	doi: 10.1038/nm.4466			
Towards unified quality verification of synthetic count data with countsimQC.	2018 Feb 15	2018	Bioinformatics	<strong>Soneson C</strong>, <strong>Robinson MD</strong>	34	4	691-692	10.1093/bioinformatics/btx631	29028961	doi: 10.1093/bioinformatics/btx631			https://www.bioconductor.org/packages/countsimQC/
iSEE: Interactive SummarizedExperiment Explorer.	2018	2018	F1000Res	Rue-Albrecht K, Marini F, <strong>Soneson C</strong>, Lun ATL	7		741	10.12688/f1000research.14966.1	30002819	doi: 10.12688/f1000research.14966.1			
Swimming downstream: statistical analysis of differential transcript usage following Salmon quantification.	2018	2018	F1000Res	Love MI, <strong>Soneson C</strong>, Patro R	7		952	10.12688/f1000research.15398.3	30356428	doi: 10.12688/f1000research.15398.3			
Benchmarking comes of age.	2019 Oct 9	2019	Genome Biol	<strong>Robinson MD</strong>, Vitek O	20	1	205	10.1186/s13059-019-1846-5	31597556	doi: 10.1186/s13059-019-1846-5			
TNFR2 induced priming of the inflammasome leads to a RIPK1-dependent cell death in the absence of XIAP.	2019 Sep 20	2019	Cell Death Dis	Knop J, Spilgies LM, Rufli S, Reinhart R, Vasilikos L, Yabal M, Owsley E, Jost PJ, Marsh RA, Wajant H, <strong>Robinson MD</strong>, Kaufmann T, Wong WW	10	10	700	10.1038/s41419-019-1938-x	31541082	doi: 10.1038/s41419-019-1938-x			
Maleness-on-the-Y (MoY) orchestrates male sex determination in major agricultural fruit fly pests.	2019 Sep 27	2019	Science	Meccariello A, Salvemini M, Primo P, Hall B, Koskinioti P, Dalíková M, Gravina A, Gucciardino MA, Forlenza F, Gregoriou ME, Ippolito D, Monti SM, Petrella V, Perrotta MM, <strong>Schmeing S</strong>, Ruggiero A, Scolari F, Giordano E, Tsoumani KT, Marec F, Windbichler N, Arunkumar KP, Bourtzis K, Mathiopoulos KD, Ragoussis J, Vitagliano L, Tu Z, Papathanos PA, <strong>Robinson MD</strong>, Saccone G	365	6460	1457-1460	10.1126/science.aax1318	31467189	doi: 10.1126/science.aax1318			
A comprehensive examination of Nanopore native RNA sequencing for characterization of complex transcriptomes.	2019 Jul 31	2019	Nat Commun	<strong>Soneson C</strong>, <strong>Yao Y</strong>, Bratus-Neuenschwander A, Patrignani A, <strong>Robinson MD</strong>, Hussain S	10	1	3359	10.1038/s41467-019-11272-z	31366910	doi: 10.1038/s41467-019-11272-z	https://github.com/csoneson/NativeRNAseqComplexTranscriptome		
Mammalian Annotation Database for improved annotation and functional classification of Omics datasets from less well-annotated organisms.	2019 Jan 1	2019	Database (Oxford)	Bick JT, Zeng S, <strong>Robinson MD</strong>, Ulbrich SE, Bauersachs S	2019			10.1093/database/baz086	31353404	doi: 10.1093/database/baz086			
Active receptor tyrosine kinases, but not Brachyury, are sufficient to trigger chordoma in zebrafish.	2019 Jul 16	2019	Dis Model Mech	D'Agati G, Cabello EM, Frontzek K, Rushing EJ, Klemm R, <strong>Robinson MD</strong>, White RM, Mosimann C, Burger A	12	7		10.1242/dmm.039545	31221659	doi: 10.1242/dmm.039545			
Essential guidelines for computational method benchmarking.	2019 Jun 20	2019	Genome Biol	<strong>Weber LM</strong>, Saelens W, Cannoodt R, <strong>Soneson C</strong>, Hapfelmeier A, Gardner PP, Boulesteix AL, Saeys Y, <strong>Robinson MD</strong>	20	1	125	10.1186/s13059-019-1738-8	31221194	doi: 10.1186/s13059-019-1738-8			
CD8+ T cells retain protective functions despite sustained inhibitory receptor expression during Epstein-Barr virus infection in vivo.	2019 May	2019	PLoS Pathog	Chatterjee B, Deng Y, Holler A, Nunez N, Azzi T, Vanoaica LD, Müller A, Zdimerova H, Antsiferova O, Zbinden A, Capaul R, Dreyer JH, Nadal D, Becher B, <strong>Robinson MD</strong>, Stauss H, Münz C	15	5	e1007748	10.1371/journal.ppat.1007748	31145756	doi: 10.1371/journal.ppat.1007748			
diffcyt: Differential discovery in high-dimensional cytometry via high-resolution clustering.	2019	2019	Commun Biol	<strong>Weber LM</strong>, <strong>Nowicka M</strong>, <strong>Soneson C</strong>, <strong>Robinson MD</strong>	2		183	10.1038/s42003-019-0415-5	31098416	doi: 10.1038/s42003-019-0415-5	https://github.com/lmweber/diffcyt-evaluations	http://flowrepository.org/id/FR-FCM-ZYL8	https://bioconductor.org/packages/release/bioc/html/diffcyt.html
ARMOR: An Automated Reproducible MOdular Workflow for Preprocessing and Differential Analysis of RNA-seq Data.	2019 Jul 1	2019	G3 (Bethesda)	<strong>Orjuela S</strong>, <strong>Huang R</strong>, <strong>Hembach KM</strong>, <strong>Robinson MD</strong>, <strong>Soneson C</strong>	9	7	2089-2096	10.1534/g3.119.400185	31088905	doi: 10.1534/g3.119.400185			https://github.com/csoneson/ARMOR
Origin and differentiation trajectories of fibroblastic reticular cells in the splenic white pulp.	2019 Apr 15	2019	Nat Commun	Cheng HW, Onder L, Novkovic M, <strong>Soneson C</strong>, Lütge M, Pikor N, Scandella E, <strong>Robinson MD</strong>, Miyazaki JI, Tersteegen A, Sorg U, Pfeffer K, Rülicke T, Hehlgans T, Ludewig B	10	1	1739	10.1038/s41467-019-09728-3	30988302	doi: 10.1038/s41467-019-09728-3			
The Spinal Transcriptome after Cortical Stroke: In Search of Molecular Factors Regulating Spontaneous Recovery in the Spinal Cord.	2019 Jun 12	2019	J Neurosci	Kaiser J, Maibach M, Salpeter I, Hagenbuch N, <strong>de Souza VBC</strong>, <strong>Robinson MD</strong>, Schwab ME	39	24	4714-4726	10.1523/JNEUROSCI.2571-18.2019	30962276	doi: 10.1523/JNEUROSCI.2571-18.2019			
Abscisic acid is a substrate of the ABC transporter encoded by the durable wheat disease resistance gene Lr34.	2019 Jul	2019	New Phytol	Krattinger SG, Kang J, Bräunlich S, Boni R, Chauhan H, Selter LL, <strong>Robinson MD</strong>, Schmid MW, Wiederhold E, Hensel G, Kumlehn J, Sucher J, Martinoia E, Keller B	223	2	853-866	10.1111/nph.15815	30913300	doi: 10.1111/nph.15815			
A junction coverage compatibility score to quantify the reliability of transcript abundance estimates and annotation catalogs.	2019 Feb	2019	Life Sci Alliance	<strong>Soneson C</strong>, Love MI, Patro R, Hussain S, Malhotra D, <strong>Robinson MD</strong>	2	1		10.26508/lsa.201800175	30655364	doi: 10.26508/lsa.201800175	https://github.com/csoneson/annotation_problem_txabundance		
TCF/LEF dependent and independent transcriptional regulation of Wnt/β-catenin target genes.	2019 Jan 15	2019	EMBO J	Doumpas N, Lampart F, <strong>Robinson MD</strong>, Lentini A, Nestor CE, Cantù C, Basler K	38	2		10.15252/embj.201798873	30425074	doi: 10.15252/embj.201798873			
Pro-inflammatory Aorta-Associated Macrophages Are Involved in Embryonic Development of Hematopoietic Stem Cells.	2019 Jun 18	2019	Immunity	Mariani SA, Li Z, Rice S, Krieg C, Fragkogianni S, <strong>Robinson M</strong>, Vink CS, Pollard JW, Dzierzak E	50	6	1439-1452.e5	10.1016/j.immuni.2019.05.003	31178352	doi: 10.1016/j.immuni.2019.05.003			
HDCytoData: Collection of high-dimensional cytometry benchmark datasets in Bioconductor object formats.	2019	2019	F1000Res	<strong>Weber LM</strong>, <strong>Soneson C</strong>	8		1459	10.12688/f1000research.20210.2	31857895	doi: 10.12688/f1000research.20210.2	https://github.com/lmweber/HDCytoData		http://bioconductor.org/packages/HDCytoData/
RNA Sequencing Data: Hitchhiker's Guide to Expression Analysis.		2019	Annual Review of Biomedical Data Science	Van den Berge K, <strong>Hembach KM</strong>, <strong>Soneson C</strong>, <strong>Tiberi S</strong>, Clement L, Love MI, Patro R, <strong>Robinson MD</strong>	2		139-173	10.1146/annurev-biodatasci-072018-021255		doi: 10.1146/annurev-biodatasci-072018-021255			
TreeSummarizedExperiment: a S4 class for data with hierarchical structure.	2020	2020	F1000Res	<strong>Huang R</strong>, <strong>Soneson C</strong>, Ernst FGM, Rue-Albrecht KC, Yu G, Hicks SC, <strong>Robinson MD</strong>	9		1246	10.12688/f1000research.26669.2	33274053	doi: 10.12688/f1000research.26669.2			https://www.bioconductor.org/packages/release/bioc/html/TreeSummarizedExperiment.html
Targeting the autosomal Ceratitis capitata transformer gene using Cas9 or dCas9 to masculinize XX individuals without inducing mutations.	2020 Dec 18	2020	BMC Genet	Primo P, Meccariello A, Inghilterra MG, Gravina A, Del Corsano G, Volpe G, Sollazzo G, Aceto S, <strong>Robinson MD</strong>, Salvemini M, Saccone G	21	Suppl 2	150	10.1186/s12863-020-00941-4	33339496	doi: 10.1186/s12863-020-00941-4			
muscat detects subpopulation-specific state transitions from multi-sample multi-condition single-cell transcriptomics data.	2020 Nov 30	2020	Nat Commun	<strong>Crowell HL</strong>, <strong>Soneson C</strong>, <strong>Germain PL</strong>, Calini D, Collin L, Raposo C, Malhotra D, <strong>Robinson MD</strong>	11	1	6077	10.1038/s41467-020-19894-4	33257685	doi: 10.1038/s41467-020-19894-4	https://github.com/HelenaLC/muscat-comparison	https://doi.org/10.6084/m9.figshare.8986193.v3	http://bioconductor.org/packages/release/bioc/html/muscat.html
pipeComp, a general framework for the evaluation of computational pipelines, reveals performant single cell RNA-seq preprocessing tools.	2020 Sep 1	2020	Genome Biol	<strong>Germain PL</strong>, <strong>Sonrel A</strong>, <strong>Robinson MD</strong>	21	1	227	10.1186/s13059-020-02136-7	32873325	doi: 10.1186/s13059-020-02136-7	https://github.com/plger/pipeComp		http://bioconductor.org/packages/release/bioc/html/pipeComp.html
DAMEfinder: a method to detect differential allele-specific methylation.	2020 Jun 1	2020	Epigenetics Chromatin	<strong>Orjuela S</strong>, Machlab D, Menigatti M, Marra G, <strong>Robinson MD</strong>	13	1	25	10.1186/s13072-020-00346-8	32487212	doi: 10.1186/s13072-020-00346-8			http://bioconductor.org/packages/release/bioc/html/DAMEfinder.html
Shedding Light on the Transcriptomic Dark Matter in Biological Psychiatry: Role of Long Noncoding RNAs in D-cycloserine-Induced Fear Extinction in Posttraumatic Stress Disorder.	2020 Jun	2020	OMICS	Malan-Müller S, <strong>de Souza VBC</strong>, Daniels WMU, Seedat S, <strong>Robinson MD</strong>, Hemmings SMJ	24	6	352-369	10.1089/omi.2020.0031	32453623	doi: 10.1089/omi.2020.0031			
The DNA hypermethylation phenotype of colorectal cancer liver metastases resembles that of the primary colorectal cancers.	2020 Apr 6	2020	BMC Cancer	<strong>Orjuela S</strong>, Menigatti M, Schraml P, Kambakamba P, <strong>Robinson MD</strong>, Marra G	20	1	290	10.1186/s12885-020-06777-6	32252665	doi: 10.1186/s12885-020-06777-6			
BANDITS: Bayesian differential splicing accounting for sample-to-sample variability and mapping uncertainty.	2020 Mar 16	2020	Genome Biol	<strong>Tiberi S</strong>, <strong>Robinson MD</strong>	21	1	69	10.1186/s13059-020-01967-8	32178699	doi: 10.1186/s13059-020-01967-8	https://github.com/SimoneTiberi/BANDITS_manuscript		http://bioconductor.org/packages/release/bioc/html/BANDITS.html
Eleven grand challenges in single-cell data science.	2020 Feb 7	2020	Genome Biol	Lähnemann D, Köster J, Szczurek E, McCarthy DJ, Hicks SC, <strong>Robinson MD</strong>, Vallejos CA, Campbell KR, Beerenwinkel N, Mahfouz A, Pinello L, Skums P, Stamatakis A, Attolini CS, Aparicio S, Baaijens J, Balvert M, Barbanson B, Cappuccio A, Corleone G, Dutilh BE, Florescu M, Guryev V, Holmer R, Jahn K, Lobo TJ, Keizer EM, Khatri I, Kielbasa SM, Korbel JO, Kozlov AM, Kuo TH, Lelieveldt BPF, Mandoiu II, Marioni JC, Marschall T, Mölder F, Niknejad A, Rączkowska A, Reinders M, Ridder J, Saliba AE, Somarakis A, Stegle O, Theis FJ, Yang H, Zelikovsky A, McHardy AC, Raphael BJ, Shah SP, Schönhuth A	21	1	31	10.1186/s13059-020-1926-6	32033589	doi: 10.1186/s13059-020-1926-6			
Circulating neutrophil subsets in advanced lung cancer patients exhibit unique immune signature and relate to prognosis.	2020 Mar	2020	FASEB J	Shaul ME, Eyal O, Guglietta S, Aloni P, Zlotnik A, Forkosh E, Levy L, <strong>Weber LM</strong>, Levin Y, Pomerantz A, Nechushtan H, Eruslanov E, Singhal S, <strong>Robinson MD</strong>, Krieg C, Fridlender ZG	34	3	4204-4218	10.1096/fj.201902467R	31957112	doi: 10.1096/fj.201902467R			
A cis-regulatory element promoting increased transcription at low temperature in cultured ectothermic Drosophila cells.	2021 Oct 28	2021	BMC Genomics	Bai Y, Caussinus E, Leo S, Bosshardt F, Myachina F, Rot G, <strong>Robinson MD</strong>, Lehner CF	22	1	771	10.1186/s12864-021-08057-4	34711176	doi: 10.1186/s12864-021-08057-4			
ARPEGGIO: Automated Reproducible Polyploid EpiGenetic GuIdance workflOw.	2021 Jul 17	2021	BMC Genomics	<strong>Milosavljevic S</strong>, Kuo T, Decarli S, Mohn L, Sese J, Shimizu KK, Shimizu-Inatsugi R, <strong>Robinson MD</strong>	22	1	547	10.1186/s12864-021-07845-2	34273949	doi: 10.1186/s12864-021-07845-2	https://github.com/supermaxiste/ARPEGGIO_paperAnalyses		https://github.com/supermaxiste/ARPEGGIO
Synaptic FUS accumulation triggers early misregulation of synaptic RNAs in a mouse model of ALS.	2021 May 21	2021	Nat Commun	Sahadevan S, <strong>Hembach KM</strong>, Tantardini E, Pérez-Berlanga M, Hruska-Plochan M, Megat S, Weber J, Schwarz P, Dupuis L, <strong>Robinson MD</strong>, De Rossi P, Polymenidou M	12	1	3027	10.1038/s41467-021-23188-8	34021139	doi: 10.1038/s41467-021-23188-8			
treeclimbR pinpoints the data-dependent resolution of hierarchical hypotheses.	2021 May 17	2021	Genome Biol	<strong>Huang R</strong>, <strong>Soneson C</strong>, <strong>Germain PL</strong>, Schmidt TSB, Mering CV, <strong>Robinson MD</strong>	22	1	157	10.1186/s13059-021-02368-1	34001188	doi: 10.1186/s13059-021-02368-1	https://github.com/fionarhuang/treeclimbR_article		https://github.com/fionarhuang/treeclimbR
Censcyt: censored covariates in differential abundance analysis in cytometry.	2021 May 10	2021	BMC Bioinformatics	<strong>Gerber R</strong>, <strong>Robinson MD</strong>	22	1	235	10.1186/s12859-021-04125-4	33971812	doi: 10.1186/s12859-021-04125-4	https://github.com/retogerber/censcyt_paper_scripts		https://bioconductor.org/packages/censcyt
CellMixS: quantifying and visualizing batch effects in single-cell RNA-seq data.	2021 Jun	2021	Life Sci Alliance	<strong>Lütge A</strong>, <strong>Zyprych-Walczak J</strong>, Brykczynska Kunzmann U, <strong>Crowell HL</strong>, Calini D, Malhotra D, <strong>Soneson C</strong>, <strong>Robinson MD</strong>	4	6		10.26508/lsa.202001004	33758076	doi: 10.26508/lsa.202001004	https://github.com/almutlue/mixing_benchmark	https://doi.org/10.6084/m9.figshare.13341200	https://www.bioconductor.org/packages/release/bioc/html/CellMixS.html
ReSeq simulates realistic Illumina high-throughput sequencing data.	2021 Feb 19	2021	Genome Biol	<strong>Schmeing S</strong>, <strong>Robinson MD</strong>	22	1	67	10.1186/s13059-021-02265-7	33608040	doi: 10.1186/s13059-021-02265-7	https://github.com/schmeing/ReSeq-paper		https://github.com/schmeing/ReSeq
MiR-CLIP reveals iso-miR selective regulation in the miR-124 targetome.	2021 Jan 11	2021	Nucleic Acids Res	Wang Y, <strong>Soneson C</strong>, Malinowska AL, Laski A, Ghosh S, Kanitz A, Gebert LFR, <strong>Robinson MD</strong>, Hall J	49	1	25-37	10.1093/nar/gkaa1117	33300035	doi: 10.1093/nar/gkaa1117			
Flanking sequence preference modulates de novo DNA methylation in the mouse genome.	2021 Jan 11	2021	Nucleic Acids Res	<strong>Mallona I</strong>, Ilie IM, Karemaker ID, Butz S, Manzo M, Caflisch A, Baubec T	49	1	145-157	10.1093/nar/gkaa1168	33290556	doi: 10.1093/nar/gkaa1168			
Long-term self-renewing stem cells in the adult mouse hippocampus identified by intravital imaging.	2021 Feb	2021	Nat Neurosci	Bottes S, Jaeger BN, Pilz GA, Jörg DJ, Cole JD, Kruse M, Harris L, Korobeynyk VI, <strong>Mallona I</strong>, Helmchen F, Guillemot F, Simons BD, Jessberger S	24	2	225-233	10.1038/s41593-020-00759-4	33349709	doi: 10.1038/s41593-020-00759-4			
Complement downregulation promotes an inflammatory signature that renders colorectal cancer susceptible to immunotherapy.	2022 Sep	2022	J Immunother Cancer	Krieg C, <strong>Weber LM</strong>, Fosso B, Marzano M, Hardiman G, Olcina MM, Domingo E, El Aidy S, Mallah K, <strong>Robinson MD</strong>, Guglietta S	10	9		10.1136/jitc-2022-004717	36137652	doi: 10.1136/jitc-2022-004717			
Doublet identification in single-cell sequencing data using scDblFinder.	2021	2022	F1000Res	<strong>Germain PL</strong>, Lun A, Garcia Meixide C, <strong>Macnair W</strong>, <strong>Robinson MD</strong>	10		979	10.12688/f1000research.73600.2	35814628	doi: 10.12688/f1000research.73600.2	https://github.com/plger/scDblFinder		https://bioconductor.org/packages/scDblFinder
An Optimized Tissue Dissociation Protocol for Single-Cell RNA Sequencing Analysis of Fresh and Cultured Human Skin Biopsies.	2022	2022	Front Cell Dev Biol	Burja B, <strong>Paul D</strong>, Tastanova A, Edalat SG, <strong>Gerber R</strong>, Houtman M, Elhai M, Bürki K, Staeger R, Restivo G, Lang R, Sodin-Semrl S, Lakota K, Tomšič M, Levesque MP, Distler O, Rotar Ž, <strong>Robinson MD</strong>, Frank-Bertoncelj M	10		872688	10.3389/fcell.2022.872688	35573685	doi: 10.3389/fcell.2022.872688			
pubassistant.ch: consolidating publication profiles of researchers.	2021	2022	F1000Res	<strong>Gerber R</strong>, <strong>Robinson MD</strong>	10		989	10.12688/f1000research.73493.3	35475034	doi: 10.12688/f1000research.73493.3	https://github.com/markrobinsonuzh/os_monitor		http://pubassistant.ch/
Hand2 delineates mesothelium progenitors and is reactivated in mesothelioma.	2022 Mar 30	2022	Nat Commun	Prummel KD, <strong>Crowell HL</strong>, Nieuwenhuize S, Brombacher EC, Daetwyler S, <strong>Soneson C</strong>, Kresoja-Rakic J, Kocere A, Ronner M, Ernst A, Labbaf Z, Clouthier DE, Firulli AB, Sánchez-Iranzo H, Naganathan SR, O'Rourke R, Raz E, Mercader N, Burger A, Felley-Bosco E, Huisken J, <strong>Robinson MD</strong>, Mosimann C	13	1	1677	10.1038/s41467-022-29311-7	35354817	doi: 10.1038/s41467-022-29311-7			
Phase I Trial Characterizing the Pharmacokinetic Profile of N-803, a Chimeric IL-15 Superagonist, in Healthy Volunteers.	2022 Mar 15	2022	J Immunol	Rubinstein MP, Williams C, Mart C, Beall J, MacPherson L, Azar J, Swiderska-Syn M, <strong>Manca P</strong>, Gibney BC, <strong>Robinson MD</strong>, Krieg C, Hill EG, Taha SA, Rock AD, Lee JH, Soon-Shiong P, Wrangle J	208	6	1362-1370	10.4049/jimmunol.2100066	35228263	doi: 10.4049/jimmunol.2100066			
Mass cytometric and transcriptomic profiling of epithelial-mesenchymal transitions in human mammary cell lines.	2022 Feb 9	2022	Sci Data	Wagner J, Masek M, Jacobs A, <strong>Soneson C</strong>, Sivapatham S, Damond N, de Souza N, <strong>Robinson MD</strong>, Bodenmiller B	9	1	44	10.1038/s41597-022-01137-4	35140234	doi: 10.1038/s41597-022-01137-4	https://github.com/csoneson/WagnerEMT2020		
Disentangling tumorigenesis-associated DNA methylation changes in colorectal tissues from those associated with ageing.	2022 Jun	2022	Epigenetics	<strong>Orjuela S</strong>, Parker HR, Sajibu S, Cereatti F, Sauter M, Buffoli F, <strong>Robinson MD</strong>, Marra G	17	6	677-694	10.1080/15592294.2021.1952375	34369258	doi: 10.1080/15592294.2021.1952375			
An R-based reproducible and user-friendly preprocessing pipeline for CyTOF data.	2020	2022	F1000Res	<strong>Crowell HL</strong>, Chevrier S, Jacobs A, Sivapatham S, Tumor Profiler Consortium, Bodenmiller B, <strong>Robinson MD</strong>	9		1263	10.12688/f1000research.26073.2	36072920	doi: 10.12688/f1000research.26073.2		https://doi.org/10.6084/m9.figshare.c.5063984.v1	
SpatialExperiment: infrastructure for spatially-resolved transcriptomics data in R using Bioconductor.	2022 May 26	2022	Bioinformatics	Righelli D, <strong>Weber LM</strong>, <strong>Crowell HL</strong>, Pardo B, Collado-Torres L, Ghazanfar S, Lun ATL, Hicks SC, Risso D	38	11	3128-3131	10.1093/bioinformatics/btac299	35482478	doi: 10.1093/bioinformatics/btac299			https://bioconductor.org/packages/SpatialExperiment
RNA recognition by Npl3p reveals U2 snRNA-binding compatible with a chaperone role during splicing.	2023 Nov 7	2023	Nat Commun	Moursy A, Cléry A, Gerhardy S, Betz KM, Rao S, Mazur J, Campagne S, Beusch I, Duszczyk MM, <strong>Robinson MD</strong>, Panse VG, Allain FH	14	1	7166	10.1038/s41467-023-42962-4	37935663	doi: 10.1038/s41467-023-42962-4			
Validation of hypermethylated DNA regions found in colorectal cancers as potential aging-independent biomarkers of precancerous colorectal lesions.	2023 Oct 18	2023	BMC Cancer	Sajibu S, <strong>Sonder E</strong>, Tiwari A, <strong>Orjuela S</strong>, Parker HR, Frans OT, Gubler C, Marra G, <strong>Robinson MD</strong>	23	1	998	10.1186/s12885-023-11487-w	37853362	doi: 10.1186/s12885-023-11487-w			
Conserved stromal-immune cell circuits secure B cell homeostasis and function.	2023 Jul	2023	Nat Immunol	Lütge M, De Martin A, Gil-Cruz C, Perez-Shibayama C, Stanossek Y, Onder L, Cheng HW, Kurz L, Cadosch N, <strong>Soneson C</strong>, <strong>Robinson MD</strong>, Stoeckli SJ, Ludewig B, Pikor NB	24	7	1149-1160	10.1038/s41590-023-01503-3	37202489	doi: 10.1038/s41590-023-01503-3			
